transactionAmount,avgUserAmount,amountDeviation,transactionsLast2Min,hour,deviceChanged,ipChanged,newPayee,messageRiskScore,fraudLabel
4787.3587797384735,1955.0918848931565,2.4486617824614916,2,19,0,0,0,1.7974230942646379,0
2988.9294604311754,1350.8368631438393,2.2126502037225713,3,1,0,0,0,1.7668448759674844,0
2764.567168741907,949.1918406144284,2.9125483916426784,3,11,1,0,0,7.654246049201263,1
2764.604588663601,2171.0259205330126,1.273409295815712,1,8,0,0,1,4.469975384722469,0
9299.428824461302,1669.6557800124642,5.569668272817215,1,9,0,0,0,5.839061050727053,0
5733.412461928444,1099.5478276678023,5.214336582419801,0,22,0,0,0,3.0242652342429825,0
2262.156003481798,1727.981230075281,1.3091322776597782,3,13,1,0,0,3.4876265225547014,0
4939.628946862426,2124.6707075203117,2.3248915370172503,2,22,0,0,0,17.050456942307402,0
3997.920528129294,2201.2884214463297,1.8161729690571438,1,23,0,0,0,4.491392815158008,0
431.82988698117083,2099.4456011961324,0.20568758091904893,1,18,0,0,0,5.166299635092802,0
1342.4845653754126,1652.2343019265975,0.8125267486639156,1,17,0,0,0,2.0848832993975432,0
4212.331274696327,2297.216074865951,1.8336678559687196,4,13,0,0,0,4.340338386848104,0
8730.353734967057,1989.783385309909,4.3875900258395735,3,3,0,0,0,2.8038356241918563,1
2783.7043699182923,1561.8789050287905,1.7822792541442125,1,0,0,0,0,7.32297827028055,0
2116.054878108607,1441.4455040280397,1.4680089342229095,1,6,0,0,0,2.605470570472576,0
3628.0150829443314,2098.1465907315364,1.7291523380544127,1,7,1,0,0,3.210351923402984,1
2010.5689614361952,2434.4841330568074,0.8258706368776648,1,21,0,0,0,4.331761741885272,0
2635.482762278377,2296.834542279653,1.1474412778826502,3,12,0,1,0,4.875820612939872,1
3298.604957880529,2081.6111260151242,1.584640337792162,1,11,0,1,0,3.559594156207454,0
1280.274609687767,2316.693495676074,0.5526301222312312,1,16,0,0,0,2.980047805240978,0
5940.120188426278,3185.719777071275,1.8646085042317198,1,6,1,0,1,2.333203478773313,0
1070.3628925580801,2143.917674198697,0.49925559429801103,1,17,0,0,0,8.00948715379359,0
945.5868876693468,2078.7120696768347,0.45489074771974153,1,18,0,0,0,14.000283207847353,0
3867.9008357762696,2272.302469939332,1.7021945304136992,3,10,0,0,0,1.7389597240368246,0
